
PKEY                         ,    CON_ID,NAME                                                                  ,CURRE,DETECTED_USAGES,TOTAL_SAMPLES,FIRST_USAGE   ,LAST_USAGE    , AUX_COUNT
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFile Deduplication (user)                                       ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFile Encryption (system)                                        ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFile Encryption (user)                                          ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFiles (system)                                                  ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,       428
ol79-orcl-db01_ORCLCDB_132841,         1,SecureFiles (user)                                                    ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,        43
ol79-orcl-db01_ORCLCDB_132841,         1,Segment Advisor (user)                                                ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Segment Maintenance Online Compress                                   ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Segment Shrink                                                        ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Semantics/RDF                                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Server Flash Cache                                                    ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Server Parameter File                                                 ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,
ol79-orcl-db01_ORCLCDB_132841,         1,Services                                                              ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Shard Database                                                        ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Sharding Catalog                                                      ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Shared Server                                                         ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Spatial                                                               ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Statistics Advisor                                                    ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,       113
ol79-orcl-db01_ORCLCDB_132841,         1,Streams (system)                                                      ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Streams (user)                                                        ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Sun ZFS with EHCC                                                     ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,TRANSPORT TABLESPACE command                                          ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Thin Provisioning                                                     ,FALSE,              0,           17,              ,              ,
ol79-orcl-db01_ORCLCDB_132841,         1,Traditional Audit                                                     ,TRUE ,             17,           17,01/15/21 21:56,05/08/21 08:18,         0
